OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
55,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,Seattle,WA,98121.0,0653000225,7,DOWNTOWN,47.61351,-122.35128999999999,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,,33.09999847,79.19999695,2331573.25,0.0,1500229.0,658400.0,False,Compliant,45.43,0.64,105
57,NonResidential,Large Office,5th and Pine,413 Pine Street,Seattle,WA,98101.0,1975700200,7,DOWNTOWN,47.6113,-122.33658999999999,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,78.0,56.29999924,176.6000061,9536161.0,0.0,9536160.0,0.0,False,Compliant,66.48,0.4,43
58,NonResidential,Other,1525 4th Avenue,1525 4th Ave,Seattle,WA,98101.0,1975700365,7,DOWNTOWN,47.61076,-122.33765,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,,21.60000038,48.40000153,1239429.75,0.0,714939.0,532423.0,False,Compliant,33.26,0.58,96
59,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,Seattle,WA,98101.0,1975700380,7,DOWNTOWN,47.610479999999995,-122.33793999999999,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,14.0,88.30000305,412.2000122,5242479.5,0.0,5071973.0,0.0,False,Compliant,35.36,0.6,106
62,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,Seattle,WA,98101.0,1976700010,7,DOWNTOWN,47.61233,-122.33431999999999,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,71.0,57.29999924,167.0,5078816.0,0.0,4290059.0,551288.0,False,Compliant,59.19,0.6,86
65,NonResidential,Hotel,Inn at the Market,86 Pine St,Seattle,WA,98101.0,1977200050,7,DOWNTOWN,47.609970000000004,-122.34138,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,98.0,93.09999847,215.89999390000003,5348309.0,0.0,3243900.0,2104408.0,False,Compliant,134.38,1.89,31
66,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,Seattle,WA,98101.0,1977201035,7,DOWNTOWN,47.61155,-122.34114,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,49.59999847,74.09999847,6088417.5,0.0,1293561.0,4107716.0,False,Compliant,227.18,1.85,108
67,NonResidential,Hotel,QUALITY INN,618 JOHN ST,Seattle,WA,98109.0,1991200730,7,LAKE UNION,47.619859999999996,-122.34413,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,86.0,76.90000153,172.1000061,5428403.5,0.0,2944680.0,2339663.0,False,Compliant,144.79,1.28,57
68,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,Seattle,WA,98109.0,1991200935,7,LAKE UNION,47.62001,-122.34273999999999,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,84.0,61.79999924,129.8000031,6835263.5,0.0,3396109.0,3319078.0,False,Compliant,199.95,1.33,16
69,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,Seattle,WA,98109.0,1991200940,7,LAKE UNION,47.62025,-122.34313999999999,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,80.0,67.09999847,147.1000061,5941927.0,0.0,3188457.0,2639138.0,False,Compliant,162.39,1.4,19
